Company,Segment,Funding_Stage,Est_ARR_M,Fund_Movement_Type,Compliance_Pressure,Tech_Stack,Contact_Title,Decision_Maker,Email,LinkedIn,Score_Initial,Tier
Coinbase Commerce,Crypto Exchange,Series D,50M+,Payouts & Withdrawals,HIGH,Stripe/Node.js,VP Finance,CFO,finance@coinbase.com,https://linkedin.com/company/coinbase,9,HOT
Kraken,Crypto Exchange,Private,100M+,User Withdrawals & Refunds,HIGH,Proprietary,Finance Director,CFO,compliance@kraken.com,https://linkedin.com/company/kraken,9,HOT
Gemini,Crypto Exchange,Series C,20M,Payouts & Settlements,HIGH,AWS,General Counsel,CCO,legal@gemini.com,https://linkedin.com/company/gemini-crypto,8,HOT
BlockFi,Fintech/Crypto,Series C,10M,Interest Payments & Redemptions,HIGH,Node.js/MongoDB,CFO,CFO,investors@blockfi.com,https://linkedin.com/company/blockfi,8,HOT
Nexo,Fintech,Series B,50M+,Loan Payouts & Withdrawals,MEDIUM,Proprietary,VP Ops,CFO,operations@nexo.com,https://linkedin.com/company/nexo,7,HOT
Celsius,Fintech/Crypto,Series B,30M,Interest Distribution,HIGH,Proprietary,General Counsel,CCO,legal@celsius.network,https://linkedin.com/company/celsius-network,8,HOT
YouHodler,Fintech,Series B,5M,Loan Disbursements,MEDIUM,Stripe/Node,CFO,CFO,info@youhodler.com,https://linkedin.com/company/youhodler,6,WARM
Ledger,Hardware/Custody,Series C,100M+,None (custody only),LOW,Python/C++,VP Product,CFO,business@ledger.com,https://linkedin.com/company/ledger,5,WARM
Paxos,Crypto Services,Series D,500M+,Stablecoin Issuance & Redemptions,CRITICAL,Node.js/AWS,VP Legal,Chief Legal Officer,legal@paxos.com,https://linkedin.com/company/paxos-trust-company,9,HOT
Fireblocks,Custody,Series D,500M+,Transaction Signing & Approvals,CRITICAL,AWS/Kubernetes,VP Ops,COO,operations@fireblocks.com,https://linkedin.com/company/fireblocks,8,HOT
Copper,Custody,Series B,50M,Digital Asset Custody,HIGH,AWS,VP Operations,COO,ops@copper.co,https://linkedin.com/company/copper-tech,7,HOT
Mesha,Treasury,Seed,2M,Treasury Management,MEDIUM,Stripe/AWS,Founder,CEO,founders@mesha.io,https://linkedin.com/company/mesha-io,6,WARM
Idle Finance,DeFi,Governance,5M,Staking Rewards & Distributions,MEDIUM,Ethereum/Solana,Treasury Lead,DAO,treasury@idle.finance,https://linkedin.com/company/idle-finance,6,WARM
Lido,Staking,DAO,100M+,Staking Distributions,HIGH,Ethereum/Node,DAO Ops,Treasury Manager,operations@lido.finance,https://linkedin.com/company/lido-finance,7,HOT
Rocket Pool,Staking,Protocol,10M,Minipool Rewards,MEDIUM,Ethereum,Treasurer,Treasury,contact@rocketpool.net,https://linkedin.com/company/rocket-pool,6,WARM
Compound,DeFi,Governance,50M+,Governance Treasury,MEDIUM,Ethereum,Treasury Lead,Governance,governance@compound.finance,https://linkedin.com/company/compound-finance,6,WARM
Aave,DeFi,Governance,100M+,Treasury & Safety Module,MEDIUM,Ethereum/Solana,Operations,Treasury,treasury@aave.com,https://linkedin.com/company/aave,7,HOT
Uniswap,DeFi,Governance,200M+,Protocol Treasury,MEDIUM,Ethereum,Treasury Lead,Governance,governance@uniswap.org,https://linkedin.com/company/uniswap,6,WARM
dYdX,DeFi,Governance,50M+,Community Treasury,MEDIUM,Cosmos/dYdX Chain,Treasury,DAO,treasury@dydx.foundation,https://linkedin.com/company/dydx,6,WARM
Curve,DeFi,Governance,30M+,Treasury Management,MEDIUM,Ethereum,Treasury,Governance,governance@curve.fi,https://linkedin.com/company/curve-finance,6,WARM
Balancer,DeFi,Governance,20M,Treasury Operations,MEDIUM,Ethereum,Operations,DAO,operations@balancer.fi,https://linkedin.com/company/balancer-labs,5,WARM
MakerDAO,DeFi,Governance,500M+,MKR & DAI Treasury,MEDIUM,Ethereum,Treasurer,Governance,governance@makerdao.com,https://linkedin.com/company/makerdao,7,HOT
Yearn,DeFi,Governance,50M+,Strategy Treasury,MEDIUM,Ethereum/Solana,Treasury,Governance,treasury@yearn.finance,https://linkedin.com/company/yearn-finance,6,WARM
Convex,DeFi,Governance,20M,CRV Staking Rewards,MEDIUM,Ethereum,Operations,Treasury,operations@convex.finance,https://linkedin.com/company/convex-finance,5,WARM
Frax,DeFi,Governance,10M,Protocol Treasury,MEDIUM,Ethereum/Solana,Treasury,DAO,treasury@frax.finance,https://linkedin.com/company/frax-finance,5,WARM
Orca,Solana DeFi,Series B,50M,Liquidity Pool Rewards,MEDIUM,Solana,Finance,CFO,finance@orca.so,https://linkedin.com/company/orca-so,7,HOT
Magic Eden,Solana NFT,Series B,100M,Royalty & Creator Payouts,MEDIUM,Solana/Node,VP Finance,CFO,business@magiceden.io,https://linkedin.com/company/magic-eden,7,HOT
Marinade,Solana Staking,Series B,50M,Stake Distributions,HIGH,Solana,Operations,Treasury,operations@marinade.finance,https://linkedin.com/company/marinade-finance,7,HOT
Raydium,Solana DeFi,Community,20M,Liquidity Incentives,MEDIUM,Solana,Community Lead,DAO,community@raydium.io,https://linkedin.com/company/raydium,5,WARM
Serum,Solana DeFi,Governance,30M,Treasury & Rewards,MEDIUM,Solana,Treasury,Governance,governance@projectserum.com,https://linkedin.com/company/serum-ecosystem,5,WARM
Phantom,Solana Wallet,Series B,100M,User Payouts & Incentives,LOW,Solana/Node,VP Business,CFO,business@phantom.app,https://linkedin.com/company/phantom-wallet,6,WARM
Backpack,Solana Wallet,Series B,50M,Platform Rewards,LOW,Solana,Finance,CFO,contact@backpack.exchange,https://linkedin.com/company/backpack-exchange,5,WARM
Drift,Solana DeFi,Series A,10M,Insurance Fund Management,MEDIUM,Solana,Operations,DAO,operations@drift.trade,https://linkedin.com/company/drift-protocol,5,WARM
Marginfi,Solana Lending,Series A,5M,Liquidation Fund,MEDIUM,Solana,Finance,CEO,contact@marginfi.com,https://linkedin.com/company/marginfi,5,WARM
